hc_drug_name
AB Kit 200mg+200mcg
AB-DS 400mg
ABO Kit 200mg+200mcg
Abac 500mg
Abac 125mg/1.2ml
Abac 125mg/5ml
Abaclor 125mg/5ml
Abaclor 250 250mg
Abaclor 500 500mg
Abaclor PD 100mg/ml
Abacten 200mg/5ml
Abacten 500 500mg
Abasaglar 100 IU/ml
Abasaglar 100 IU/ml
Abdolax 100 mg
Abdolax 5mg/5ml
Abdorin 10mg
Abdorin 10mg/5ml
Abecab 20mg+5mg
Abecab 40mg+5mg
Abeclib 200mg
Aben-DS 400mg
Abetis 10 10mg
Abetis 20 20mg
Abetis 40 40mg
Abetis Plus 
Abetis Plus 40 
Abex 100mg+30mg+1.25mg/5m
Abicon 100mg+500mg/5ml
Abiret 250mg 
Abixa 10 10mg
Abpres 200mg+500mg/100ml
Absol 2mg/5ml
ACF 100mg
ACI ORS
ACI ORS Fruity
ACN 100mg
Ac PR 100mg
Acaril 50mg
Accolate 20mg
Accuzith 500mg
Accuzith PFS 200mg/5ml
Ace 120mg/5ml
Ace 500mg
Ace 80mg/ml
Ace 125mg
Ace 250mg
Ace 500mg
Ace 120mg/5ml
Ace IV Infusion 1GM/100ML
Ace PLUS 500mg+65mg
Ace Power 1000mg
Ace XR 665mg
Acebid 100mg
Acecard 5mg
Acecard 1.25mg
Acecard 2.5mg
Acecloben 100mg
Aceclofar 100mg
Aceclofen 100mg
Aceclofenac 100mg
Aceclofenac SR 200mg
Aceclora 100mg
Acecol 100 100mg
Acedol 100mg
Acedol SR 200mg
Acedone Z 
Acedone Z Plus 
Acedone-Z 250mg+400mg
Acedone-Z Plus 
Acefenac 100mg
Acefra 125mg/5ml
Acefra 500mg
Acegic 100mg
Acelex 125mg/5ml
Acelex 125mg/1.2ml
Acelex 250 250mg
Acelex 500 500mg
Acelock 100mg
Acelon 100mg
Acemox 250mg
Acenac 100mg
Acenopan 100 100mg
Acep 120mg/5ml
Acep 500mg
Acep 80mg/ml
Acep Plus 500mg+65mg
Acepril 10mg
Acepril 5mg
Acepro 100mg
Aceptin-R 150mg
Aceptin-R 50mg/2ml
Aceril 2.5 2.5mg
Aceril 5 5mg
Acerux 200mg
Acerux 400mg
Acerux 250mg
Acerux 200mg/5ml
Acerux 500mg
Acerux 5gm/100gm
Acerux 3gm/100gm
Acerux 5% w/w
Acerux 800 800mg
Acerux-H 
Aces Plus
Aceta 120mg/5ml
Aceta 80mg/ml
Aceta 500mg
Aceta Extend 665mg
Aceta One 100mg
Aceta X 500mg+65mg
Aceta-T 325mg+37.5 mg
Acetaminophen 5gm/50ml
Aceten 100mg
Aceten 600mg
Aceto 500mg
Acetophane 120mg/5ml
Acetor 25mg
Acetram 325mg+37.5mg
Acflam 100mg
Achnil 200mg
Acicaft 250mg/100ml
Acical 500 500mg
Acical JR 250mg
Acical MX
Acical-C 
Acical-D 
Acical-DX 
Acical-M 
Aciclon 3gm/100gm
Acicot 0.1%
Acidron IV 4mg/5ml
Acidrox 
Acidrox M 400mg
Acidrox Plus 
Acidrox M 
Acifix 20mg
Acifix 20mg
Acifix 10mg
Acifix VegeCap 20mg
Aciflox 200mg
Acilog 
Acilog 100IU/ml
Acilog Biopen 300 IU/3ml
Acilog Mix 100IU/ml
Acilog Mix 
Acin 75mg/5ml
Acin 150mg
Acin 300mg
Acinil 250mg+400mg
Acinil 
Acipam 5mg
Acipam 10mg
Aciphin 1gm
Aciphin 250mg
Acipin 500mg/vial
Acipin 1gm
Acipin 2gm
Acipin 250mg/vial
Acipin 500mg/vial
Acipra 20 20mg
Acirux 5gm/100gm
Acitrin 10mg
Acitrin 2.5mg/ml
Acitrin 5mg/5ml
Acitrin-L 5mg
Acitrin-L 2.5mg/5ml
Aclasta 5mg/100ml
Aclene 0.1%
Aclene Plus Gel 
Aclitol Cozycap 
